step,V,C_rank,K,acc_train,acc_test,lambda,gate_mean
800,4.32979154586792,11.846406925882869,51.292472556598824,0.07624021172523499,0.007383376359939575,3.817754688275588e-29,nan
900,0.03783399611711502,11.843682757938698,0.4480938474761948,1.0,0.02382816933095455,0.0002920533377569029,nan
1000,0.016179613769054413,11.771268774252002,0.19045458233912796,1.0,0.02942163683474064,0.0002919005224900979,nan
1100,0.012091873213648796,11.660040211410776,0.1409917279024258,1.0,0.036245666444301605,0.0002909719846197517,nan
1200,0.01037237886339426,11.4232551052989,0.11848632980536289,1.0,0.040608569979667664,0.00028938489478502483,nan
1300,5.031309127807617,7.625453107368313,38.36601182277115,0.041514359414577484,0.007718984503298998,3.106276569696981e-35,nan
1400,0.1596670001745224,7.327666585795586,1.1699865420330657,1.0,0.020807696506381035,0.00029304031831092514,nan
1500,0.05307085067033768,7.867418214982437,0.4175305772484275,1.0,0.021702652797102928,0.0002934722856297354,nan
1600,0.033786360174417496,7.759430427758104,0.2621629111805697,1.0,0.023380691185593605,0.0002932743445303762,nan
1700,0.025837570428848267,7.970986353311927,0.20595092129108533,1.0,0.024723123759031296,0.0002930435882389082,nan
1800,0.020518602803349495,7.722990257368482,0.15846496954508177,1.0,0.02617742493748665,0.00029259658729227086,nan
1900,0.016940217465162277,7.500597045603984,0.12706174507108517,1.0,0.028079204261302948,0.0002922616285522398,nan
2000,0.014902264811098576,7.450448537255463,0.11102855706364294,1.0,0.03009285219013691,0.0002918074134898509,nan
2100,0.013567248359322548,7.455710670279858,0.10115347835893802,1.0,0.032330241054296494,0.0002911109727909715,nan
2200,4.148401737213135,6.8188100954162385,28.287163645551185,0.09216710180044174,0.006040944252163172,1.4694895804050242e-27,nan
2300,0.07152018696069717,8.067452488478779,0.5769857102725439,1.0,0.03389640897512436,0.0002936647229640807,nan
2400,0.03171485289931297,7.497188805155669,0.23777224011388803,1.0,0.03501510247588158,0.0002913822760300588,nan
2500,0.02199500985443592,7.633184787411017,0.16789197461983568,1.0,0.03993735462427139,0.0002899715266474483,nan
2600,0.01758488267660141,7.576521316065225,0.1332322384397767,1.0,0.040608569979667664,0.00028889320998670866,nan
2700,0.01515619270503521,7.607120693043295,0.11529498715422518,1.0,0.04273408651351929,0.00028805718750504067,nan
2800,0.013751513324677944,7.812695311402478,0.10743638367640007,1.0,0.045978300273418427,0.0002873073630096286,nan
2900,4.6232099533081055,6.071698463944945,28.070736771995804,0.03864229843020439,0.004922250751405954,1.0830545908186243e-31,nan
3000,3.932373523712158,6.745036948578425,26.524004713050047,0.1054830253124237,0.007718984503298998,1.1046339050405988e-25,nan
3100,0.07122836261987686,7.291441540024016,0.519357442034464,1.0,0.08994294703006744,0.00028736935177012745,nan
3200,0.02655346505343914,7.425336989052981,0.19716842624882733,1.0,0.10884886980056763,0.00027867587575369307,nan
3300,0.01736922189593315,7.277398608846114,0.12640275126220338,1.0,0.12272066622972488,0.00027040086188803925,nan
3400,0.013568350113928318,7.06868470324593,0.09591038889861027,1.0,0.137263685464859,0.0002655982561652978,nan
3500,3.7994484901428223,5.245357140829369,19.929464268984017,0.12637075781822205,0.019017787650227547,1.4784801058057733e-24,nan
3600,0.06223367527127266,5.905998181052054,0.3675519729523205,1.0,0.19107283651828766,0.00026406384533685166,nan
3700,0.02197875641286373,5.594906489749104,0.12296908689094603,1.0,0.22798971831798553,0.0002499794336385112,nan
3800,0.0140869515016675,5.529876277032816,0.0778990989247829,1.0,0.2555095851421356,0.00023869715544634317,nan
3900,0.010794121772050858,5.5235118359580335,0.05962145936669522,1.0,0.2792258858680725,0.00022706417297128082,nan
4000,0.09044556319713593,5.448707814186265,0.49281144695071216,1.0,0.3608904778957367,0.00022842081226103844,nan
4100,0.020618271082639694,5.496640105960685,0.11333121574840678,1.0,0.38639670610427856,0.00020849404453410092,nan
4200,0.012407256290316582,5.512294071847138,0.0683924452970002,1.0,0.4083230793476105,0.00019173631692263096,nan
4300,0.009269335307180882,5.51930711483862,0.05116030831074826,1.0,0.43394115567207336,0.00018222752430130393,nan
4400,0.007563978899270296,5.522281506645001,0.041770420792093366,1.0,0.4635865390300751,0.00017386735674476228,nan
4500,0.006456331349909306,5.5232574292839995,0.035659980094305765,1.0,0.4952455759048462,0.00016272493608627468,nan
4600,0.005653329659253359,5.5230927190480505,0.031223863879400623,1.0,0.5289182662963867,0.00015425598839710337,nan
