step,V,C,K_est,acc_train,acc_test,gov_signal,srank
1000,4.540837287902832,31723.354247302585,144050.58986350225,0.037075718015665796,0.0045866428012081885,1e-06,6.2845901914380065
1100,0.08352954685688019,31386.87079948335,2621.731095136289,0.9997389033942559,0.0,0.00029967193186939035,6.625033405675087
1200,0.04429764300584793,29774.902076748953,1318.9579827299053,1.0,0.00011186933661483388,0.0002998458750444574,6.525040258365648
1300,0.03573077544569969,28323.411217684734,1012.0174460753049,1.0,0.00011186933661483388,0.000299904764944118,6.342082712736208
1400,0.031929995864629745,27012.593499618157,862.511998735732,1.0,0.00022373867322966775,0.0002999282267864147,6.312289941348655
1500,5.3242268562316895,25914.10678796826,137972.58331575652,0.024804177545691905,0.005369728157512026,1e-06,5.371736073120749
1600,4.010753631591797,26045.20802612842,104460.91267635838,0.08407310704960835,0.0023492560689115116,1e-06,4.62595370085768
1700,3.4365315437316895,26240.406793983067,90175.98566787415,0.16945169712793734,0.0031323414252153485,1.000000000000006e-06,4.572807301104507
1800,1.423406720161438,26652.659882548414,37937.575186996575,0.5947780678851174,0.002572994742141179,0.00025847380887292134,4.562813481364601
1900,0.019490057602524757,25503.662465838566,497.06785053454223,1.0,0.000894954692918671,0.0002993324350286846,5.090331960379607
2000,0.014182369224727154,24210.279061119483,343.35911667847716,1.0,0.001006824029533505,0.00029954260722691163,5.118121863305811
2100,0.012900960631668568,23056.41005203249,297.44983838887856,1.0,0.0014543013759928405,0.0002995985252393062,4.9026190862534795
2200,2.2951931953430176,22407.827446206687,51430.2930769541,0.40939947780678854,0.0208076966103591,1.000050660972353e-06,4.342009775493923
2300,0.020855236798524857,22205.54623065972,463.1019248809995,1.0,0.00201364805906701,0.0002983189397027826,4.785350856339948
2400,0.013372245244681835,21199.20698452611,283.48099478985523,1.0,0.0024611254055263453,0.00029889067690127527,4.65898372499929
2500,0.0117794806137681,20276.41352709129,238.84562005911712,1.0,0.002684864078756013,0.00029907479198345405,4.882899590804413
2600,0.011417225934565067,19425.650896045976,221.78704520614326,1.0,0.0030204720886005147,0.0002990917249755598,4.811741830042064
2700,2.018172025680542,19202.43605327933,38753.819267647814,0.4919060052219321,0.026736771450945294,1.012789630555376e-06,4.275153119857889
2800,0.025684252381324768,18965.315952528686,487.10996141631153,1.0,0.002684864078756013,0.00029706784439867244,4.542673069123128
2900,0.013134793378412724,18153.043424610813,238.43647457161674,1.0,0.0027967334153708467,0.00029810029265833125,4.641686767116745
3000,0.010842847637832165,17392.30522008401,188.58211557204393,1.0,0.0024611254055263453,0.00029875445112243295,4.831523194558168
3100,1.729922890663147,17490.501430446056,30257.21879370515,0.5334203655352481,0.03177089159861282,4.997889807400017e-06,3.6784829527240164
3200,1.4807385206222534,17645.538052476044,26128.427911407056,0.5986945169712794,0.03165902226199799,0.00019587721758099078,2.68614256390251
3300,1.2745506763458252,17339.86764857168,22100.540039234125,0.6762402088772846,0.03646940373643584,0.00028856572230388826,3.245603079968386
3400,0.9477654695510864,16728.521746691054,15854.715268148208,0.806266318537859,0.04016109184472536,0.00028994609008981025,3.4057689912394697
3500,0.6699049472808838,16152.764873381573,10820.817100943194,0.9117493472584857,0.04676138270500056,0.00028843246676793223,3.8889873235864787
3600,0.4122045636177063,15622.145361817114,6439.5196116401985,0.9806788511749347,0.06119252712831413,0.00028566086408453165,3.5922584233154025
3700,0.7941060662269592,15187.031489114015,12060.11383348529,0.8234986945169713,0.15214229779617408,0.00028059142677188423,3.2959528028202683
3800,0.13864856958389282,14708.517690388999,2039.3149384718176,0.9997389033942559,0.22440988924935676,0.0002591081841190681,3.060527855263958
3900,0.09467611461877823,14217.932670732116,1346.0986231763054,1.0,0.25248909273968007,0.00024073990304188464,2.5811205684920626
4000,0.06988434493541718,13764.784701634078,961.9429620507493,1.0,0.29320953126747956,0.0002291478926686654,2.5766148966323272
4100,0.05255008861422539,13342.615678704828,701.1556362614917,1.0,0.3444456874370735,0.00021712373984040522,2.5705815696185734
4200,0.04030747339129448,12950.48383339783,522.0012825190723,1.0,0.40373643584293545,0.00019863052444719914,2.5625543513612272
