step,V,C,K_est,acc_train,acc_test,penalty
2700,2.491964101791382,55536.464732622684,138394.87645409885,0.38590078328981725,0.0,0.0
2800,2.473583936691284,55546.05285493295,137397.82408856717,0.3843342036553525,0.0,0.0037871599197387695
2900,2.4854485988616943,55561.18296990836,138094.46436365697,0.3801566579634465,0.0,0.0
3000,2.4768810272216797,55560.692653151826,137617.22549188673,0.3796344647519582,0.0,0.00219649076461792
3100,2.4891490936279297,55575.21438734543,138334.99452043878,0.3689295039164491,0.0,0.0
3200,2.4865927696228027,55580.54616921116,138206.18423604683,0.37389033942558747,0.0,0.0
3300,2.47590970993042,55585.63590725319,137625.01567542518,0.37911227154046995,0.0,0.0021399259567260742
3400,2.4714622497558594,55601.73142425864,137417.58023611933,0.37154046997389034,0.0,0.0036439895629882812
3500,2.497663736343384,55638.45633359905,138966.15473055522,0.3668407310704961,0.0,0.0
3600,2.4767746925354004,55655.71709698126,137846.671600713,0.37650130548302874,0.0,0.0005328059196472168
3700,2.470546245574951,55675.09036976057,137547.8854850581,0.37989556135770236,0.0,0.002699136734008789
3800,2.467219352722168,55688.10090232387,137394.7602625583,0.372845953002611,0.0,0.0038093924522399902
3900,2.4674274921417236,55698.86073085587,137432.90024828684,0.37493472584856397,0.0,0.0035329461097717285
4000,2.4902443885803223,55714.055167562794,138741.61324607776,0.35796344647519585,0.0,0.0
4100,2.476543664932251,55743.969845124666,138052.37537811793,0.3731070496083551,0.0,0.0
4200,2.469287395477295,55749.22381738626,137660.8556799145,0.35953002610966056,0.0,0.001880049705505371
4300,2.460358142852783,55773.659291287026,137223.1767940148,0.38407310704960834,0.0,0.005053520202636719
4400,2.4652271270751953,55816.81931974659,137601.13713409414,0.3378590078328982,0.0,0.002313077449798584
4500,2.479459047317505,55838.104724712044,138448.2939447496,0.3689295039164491,0.0,0.0
4600,2.470424175262451,55855.961157116166,137987.9167750602,0.3631853785900783,0.0,0.0
4700,2.4657933712005615,55869.05935283484,137761.55620743087,0.3741514360313316,0.0,0.0011500120162963867
4800,2.469200611114502,55870.27565989469,137954.91880254765,0.3712793733681462,0.0,0.0
