step,V,C,K_est,acc_train,acc_test,penalty
1200,7.673030631849542e-05,46285.16624075253,3.551474983655425,1.0,0.03971361449826603,0.999974250793457
1300,6.86297207721509e-05,45391.95074157645,3.1152369046976203,1.0,0.045307081329007716,0.9999774098396301
1400,6.229818245628849e-05,44516.01442009496,2.773266788569845,1.0,0.04966998545698624,0.9999799132347107
1500,5.720119224861264e-05,43657.093006759125,2.4972377700951913,1.0,0.05627027631726144,0.9999818801879883
1600,5.301340570440516e-05,42814.89989819376,2.269763658496441,1.0,0.06287056717753664,0.999983549118042
1700,4.952541348757222e-05,41989.12972291874,2.0795290115108593,1.0,0.06913525002796733,0.9999849200248718
1800,4.660718695959076e-05,41179.47777973267,1.919259619778314,1.0,0.07495245553193869,0.9999861121177673
1900,4.416672163642943e-05,40385.63180271528,1.7837009579418575,1.0,0.08233583174851773,0.9999870657920837
2000,4.213861029711552e-05,39607.28482253426,1.6689959400636294,1.0,0.09061416265801543,0.9999879002571106
2100,4.0499751776224e-05,38844.12552408463,1.5731774416899145,1.0,0.09833314688443898,0.9999886155128479
2200,3.921259121852927e-05,38095.86937075062,1.4938377527497337,1.0,0.10549278442778834,0.9999891519546509
2300,0.31882062554359436,40278.64645521816,12841.663258901932,0.9971279373368146,0.0003356080098445016,0.9068906307220459
2400,0.039820000529289246,39788.20755037833,1584.3664457155353,1.0,0.0003356080098445016,0.9885124564170837
2500,0.021094538271427155,39092.37308859588,824.6355602382947,1.0,0.0003356080098445016,0.994020938873291
2600,0.014390075579285622,38380.25142865462,552.294718810325,1.0,0.00022373867322966775,0.9959955215454102
2700,0.01097237877547741,37669.45727616023,413.3235535006936,1.0,0.0003356080098445016,0.9970031976699829
2800,0.008904633112251759,36965.78378564189,329.16674231796594,1.0,0.0003356080098445016,0.9976133704185486
2900,0.007516720797866583,36271.754810788625,272.6446537613721,1.0,0.0003356080098445016,0.9980231523513794
3000,0.0065165236592292786,35588.58486908763,231.91385529789866,1.0,0.0004474773464593355,0.9983184933662415
3100,0.005757183767855167,34916.8975169918,201.02299560868758,1.0,0.0004474773464593355,0.9985424876213074
3200,0.005157246720045805,34257.01189740125,176.6718622464427,1.0,0.0005593466830741693,0.9987190365791321
3300,0.00466789398342371,33609.065079697226,156.8835526740146,1.0,0.0005593466830741693,0.9988625049591064
3400,0.004258151166141033,32973.082233368215,140.40436856328105,1.0,0.0006712160196890032,0.9989820122718811
3500,0.003907734528183937,32349.014823671074,126.41136217919347,1.0,0.0007830853563038371,0.9990834593772888
3600,0.0036029675975441933,31736.76550456418,114.34653776380303,1.0,0.0007830853563038371,0.9991708993911743
3700,0.0033340142108500004,31136.201421289465,103.80853801046706,1.0,0.0007830853563038371,0.9992473125457764
3800,0.003093708073720336,30547.158983415546,94.50399237621136,1.0,0.000894954692918671,0.9993147850036621
3900,0.002877181628718972,29969.464207100034,86.22759183921902,1.0,0.000894954692918671,0.9993748068809509
4000,0.00268043065443635,29402.917382198328,78.8124810811038,1.0,0.000894954692918671,0.9994285702705383
4100,0.002500480506569147,28847.32886324843,72.13218348914221,1.0,0.000894954692918671,0.9994770288467407
4200,0.002335041994228959,28302.48851217294,66.0874992171065,1.0,0.000894954692918671,0.9995208382606506
4300,0.002182507887482643,27768.186612791957,60.60428630350839,1.0,0.000894954692918671,0.9995605945587158
4400,4.5882649421691895,28377.07893535553,130201.55644025956,0.03524804177545692,0.00548159749412686,0.05596429109573364
4500,2.678679943084717,28690.498955336865,76852.66410875387,0.3148825065274151,0.00950889361226088,0.44277423620224
4600,0.9782412648200989,28638.846511021584,28015.70143393043,0.816710182767624,0.03300145430137599,0.7968701124191284
4700,0.1713121086359024,28790.77402410614,4932.208207329388,0.9992167101827676,0.03311332363799083,0.9642386436462402
4800,0.023723425343632698,28445.07971599258,674.8147250360307,1.0,0.0204720886005146,0.9951072335243225
4900,0.010310701094567776,27957.509270146227,288.2615214330854,1.0,0.018794048551292093,0.9979099631309509
5000,0.5329286456108093,27452.64215513727,14630.299402175515,0.991644908616188,0.029645374202930976,0.893921971321106
5100,0.004583089146763086,27121.655635734576,124.30096558638103,1.0,0.01823470186821792,0.9990987181663513
5200,0.003581509692594409,26605.27127467589,95.28703694435531,1.0,0.017227877838684416,0.9993091225624084
