step,V,C,K_est,acc_train,acc_test,penalty
2500,5.5667096603428945e-06,59076.0687940469,0.3288593228509023,1.0,0.026736771450945294,0.999997615814209
2600,5.009793767385418e-06,59079.27673558841,0.29597499237158914,1.0,0.027296118134019467,0.9999978542327881
2700,4.528166300588055e-06,59082.3530592446,0.26753472008231693,1.0,0.027631726143863968,0.9999980330467224
2800,4.109067958779633e-06,59085.306671320024,0.2427855404777896,1.0,0.027855464817093636,0.9999982118606567
2900,3.743941533684847e-06,59088.15310761028,0.22122259056831148,1.0,0.02830294216355297,0.9999983906745911
3000,3.4209883779112715e-06,59090.90548389066,0.20214930090064337,1.0,0.029309766193086475,0.9999985098838806
3100,3.135447514068801e-06,59093.56972632088,0.18528478629584416,1.0,0.029869112876160644,0.9999986290931702
3200,2.8770475637429627e-06,59096.15342366386,0.17002244423413246,1.0,0.030540328895849646,0.9999987483024597
3300,2.6487141440156847e-06,59098.665472006556,0.15653547112815513,1.0,0.03143528358876832,0.9999988675117493
3400,2.440456682961667e-06,59101.11282328866,0.14423370576006628,1.0,0.031882760935227655,0.999998927116394
3500,2.2555736904905643e-06,59103.49587903898,0.13331229032077782,1.0,0.03266584629153149,0.9999990463256836
3600,2.085568667098414e-06,59105.82620035684,0.12326925916642874,1.0,0.03322519297460566,0.9999991059303284
3700,1.933211478899466e-06,59108.101115340614,0.1142684595721268,1.0,0.033672670321064996,0.9999991655349731
3800,1.7921524886332918e-06,59110.328454992035,0.10593472224454525,1.0,0.03490323302382817,0.9999992251396179
3900,1.665566855990619e-06,59112.5086237213,0.09845583513812985,1.0,0.03579818771674684,0.9999992847442627
4000,1.5474782912860974e-06,59114.64615997311,0.09147863162961745,1.0,0.03635753439982101,0.9999993443489075
4100,1.4389762554856134e-06,59116.73928753068,0.08506758413649015,1.0,0.03680501174628034,0.9999994039535522
4200,1.3425508313957835e-06,59118.79357899585,0.07936998547059658,1.0,0.03736435842935451,0.9999994039535522
4300,1.250607169822615e-06,59120.81329979361,0.07393691299846611,1.0,0.03725248909273968,0.999999463558197
