step,V,C,K_est,acc_train,acc_test,gov_signal,srank
9400,1.4815020561218262,2165.7690018421854,3208.5912293141128,0.6023498694516971,0.0,0.00018916679692390143,1.8390928174893242
9500,1.3973488807678223,2185.3697840162204,3053.724021758883,0.6070496083550914,0.0,0.00018301966727360752,1.8340424133164943
9600,1.33376944065094,2206.593751672597,2943.087313912219,0.639686684073107,0.0,0.00017674779043544948,1.824059915510765
9700,1.247479796409607,2231.643039604882,2783.9296047052144,0.695822454308094,0.0,0.00017035546484052498,1.8131391047936518
9800,1.1775239706039429,2259.240557981073,2660.3099123833404,0.7172323759791123,0.00011186933661483388,0.00016384707146949314,1.8006002680616215
9900,1.141953706741333,2293.2567400921253,2618.7930348577484,0.7201044386422977,0.00011186933661483388,0.0001572270708500687,1.7899101160354678
10000,1.0527976751327515,2328.369027353765,2451.3014988491495,0.7582245430809399,0.00022373867322966775,0.00015049999999999994,1.7782385047131257
10100,0.9859967827796936,2369.7910024409357,2336.6063042670276,0.791644908616188,0.00022373867322966775,0.00014367046931762284,1.7739829609628404
10200,0.9168154001235962,2407.666605310311,2207.385822111793,0.8261096605744125,0.00022373867322966775,0.0001367431594221245,1.7662704914188863
10300,1.118843913078308,2455.7424523729424,2747.5924949254636,0.7033942558746736,0.0003356080098445016,0.0001297228179456802,1.7639240698424343
10400,0.8682257533073425,2498.6513261598593,2169.3934299075345,0.8232375979112272,0.00022373867322966775,0.00012261425627966432,1.7545499886573535
10500,0.8069208860397339,2551.351524319878,2058.738832603022,0.8637075718015665,0.00011186933661483388,0.00011542234627716186,1.7418854006363056
10600,0.7327396273612976,2607.6848836252466,1910.7540499032518,0.8932114882506528,0.00011186933661483388,0.00010815201691404474,1.7396283774457748
10700,0.6910551190376282,2665.4212208380195,1841.9529790516378,0.8877284595300261,0.00022373867322966775,0.00010080825091089757,1.7221197250664277
10800,0.6633546948432922,2732.662802741048,1812.7246996219035,0.8634464751958224,0.0003356080098445016,9.339608131810917e-05,1.7069700438503583
10900,0.37747591733932495,2805.879258498884,1059.151847045251,0.9775456919060053,0.00022373867322966775,8.592058806647284e-05,1.7109077229351577
11000,0.2344571352005005,2846.2565594959015,667.325158985042,0.9945169712793733,0.0006712160196890032,7.838689448565376e-05,1.7095118763965744
11100,0.597766101360321,3008.602856944708,1798.440800337362,0.8992167101827676,0.0023492560689115116,7.080016379291574e-05,1.6168768870510977
11200,0.2571462094783783,3035.8261837410173,780.6511957842134,0.9908616187989556,0.0007830853563038371,6.316559555451015e-05,1.6593040779845323
11300,0.19004517793655396,3051.793513831555,579.9786413617392,0.997911227154047,0.0011186933661483387,5.5488422122152026e-05,1.6703818128961267
11400,0.1573813110589981,3067.397414700823,482.75102666459685,0.9994778067885117,0.0014543013759928405,4.777390504702905e-05,1.687415212872544
11500,1.4270164966583252,3154.807544744108,4501.96241013199,0.5733681462140993,0.005929074840586196,4.002733147379541e-05,1.6226983455053683
11600,0.16638973355293274,3202.672201086174,532.8917741961131,0.9984334203655353,0.0023492560689115116,3.225401051702846e-05,1.6637962396221035
11700,0.1310255527496338,3220.3914855619587,421.95357446596995,0.9994778067885117,0.0021255173956818436,2.4459269622625673e-05,1.687476110846915
11800,0.1135191097855568,3239.9645511772505,367.79789158640256,1.0,0.00201364805906701,1.6648450916640327e-05,1.6958159822943166
11900,0.10094092041254044,3262.748908367328,329.34487788560966,1.0,0.0019017787224521758,8.82690754405402e-06,1.6937309527253122
12000,0.09065104275941849,3289.583810463402,298.2042026630087,1.0,0.0019017787224521758,1.0000000000000366e-06,1.6878075395621275
