step,V,C,K_est,acc_train,acc_test,penalty
18000,0.0010150769958272576,4569.640581966378,4.638537033952752,1.0,1.0,0.9999663829803467
18100,0.0009703018004074693,4490.10052751936,4.356752625862563,1.0,1.0,0.999968409538269
18200,0.0009259705548174679,4412.28925436968,4.085649928883845,1.0,1.0,0.9999703764915466
18300,0.0008823221432976425,4336.158767740242,3.825888897631435,1.0,1.0,0.9999722838401794
18400,0.0008395626791752875,4261.662988862488,3.577933196671554,1.0,1.0,0.9999740719795227
18500,0.0007978671928867698,4188.7567167831585,3.342071563305381,1.0,1.0,0.9999757409095764
18600,0.0007573930197395384,4117.396143182181,3.1184870983486808,1.0,1.0,0.9999774098396301
18700,0.0007182746194303036,4047.5396360564046,2.9072449917174836,1.0,1.0,0.9999788999557495
18800,0.0006806181627325714,3979.147688221652,2.7082801887989794,1.0,1.0,0.9999803900718689
18900,0.0006445021717809141,3912.1847597355954,2.521411574057785,1.0,1.0,0.999981701374054
19000,0.0006099598249420524,3846.6164263989776,2.3462814820655433,1.0,1.0,0.999983012676239
19100,0.0005770028219558299,3782.4124124967493,2.182462635811383,1.0,1.0,0.9999842047691345
19200,0.0005456161452457309,3719.5460127550177,2.029444357543521,1.0,1.0,0.9999852776527405
19300,0.000515759049449116,3657.993333783932,1.8866431647236037,1.0,1.0,0.9999863505363464
19400,0.00048737862380221486,3597.734534722753,1.753458906338877,1.0,1.0,0.9999873042106628
19500,4.729133605957031,4423.116182428785,20917.507381376337,0.010966057441253264,0.007942722899653205,0.8483361005783081
19600,4.244411945343018,5416.862424229272,22991.395579678458,0.049347258485639686,0.02796733415370847,0.8332992792129517
19700,0.003891605883836746,6648.690626731142,25.87408356279714,1.0,0.9991050453070813,0.9998124241828918
19800,0.002006157301366329,6525.358857313171,13.090896315634264,1.0,0.9995525226535407,0.9999051094055176
19900,0.0015388181200250983,6401.167507314123,9.850232549570864,1.0,0.9997762613267703,0.9999285936355591
20000,0.0013142327079549432,6278.84040405415,8.251857427036995,1.0,0.9998881306633851,0.9999401569366455
20100,0.0011877139331772923,6158.689788538963,7.314761671964439,1.0,0.9998881306633851,0.9999469518661499
20200,0.0011111191706731915,6040.8452585591,6.7120989738552685,1.0,0.9998881306633851,0.9999513626098633
20300,0.0010633229976519942,5925.363007280976,6.300574755078242,1.0,0.9998881306633851,0.999954342842102
20400,0.0010336218401789665,5812.266276859678,6.007685364697851,1.0,0.9998881306633851,0.9999564290046692
20500,0.0010158964432775974,5701.55895455461,5.792193463069565,1.0,0.9998881306633851,0.9999579787254333
20600,0.0010063849622383714,5593.237352398224,5.628949961683535,1.0,0.9998881306633851,0.9999591708183289
20700,0.0010025916853919625,5487.29486306943,5.501516205007438,1.0,0.9998881306633851,0.9999601244926453
20800,0.0010027519892901182,5383.726364209317,5.398542321504547,1.0,1.0,0.9999608397483826
20900,0.0010054599260911345,5282.527889515273,5.311370101366384,1.0,1.0,0.9999614953994751
21000,0.0010096174664795399,5183.698120678775,5.233552163594457,1.0,1.0,0.9999620318412781
21100,0.0010142228566110134,5087.240552416071,5.159595645338817,1.0,1.0,0.999962568283081
21200,0.001018382958136499,4993.162708046846,5.084951809077599,1.0,1.0,0.999963104724884
21300,0.0010213818168267608,4901.481909932569,5.006284498310428,1.0,1.0,0.9999637007713318
21400,0.0010225040605291724,4812.235138501041,4.920529969338478,1.0,1.0,0.9999642968177795
21500,0.0010212603956460953,4725.4946542857215,4.825960540259344,1.0,0.9998881306633851,0.9999650120735168
21600,0.0010172269539907575,4641.381313788705,4.721338176134904,1.0,0.9998881306633851,0.9999657869338989
21700,0.0010101881343871355,4560.058530500159,4.606517019622098,1.0,0.9998881306633851,0.9999666213989258
21800,0.000999781652353704,4482.198380202986,4.481219702736437,1.0,0.9998881306633851,0.9999675154685974
21900,0.0009863239247351885,4408.323315575719,4.348034754120282,1.0,0.9998881306633851,0.9999684691429138
22000,0.0009694628533907235,4338.6045767436735,4.206115972703974,1.0,0.9998881306633851,0.999969482421875
22100,0.0009494214900769293,4274.604208402801,4.058401097030901,1.0,0.9998881306633851,0.999970555305481
22200,0.0009258963982574642,4217.990269518923,3.9054219984326015,1.0,0.9998881306633851,0.9999716877937317
22300,0.0008986051543615758,4173.123288049828,3.749990096427903,1.0,0.9998881306633851,0.9999728202819824
22400,0.0008656186982989311,4143.905311751645,3.587041921832485,1.0,0.9998881306633851,0.9999740123748779
22500,0.0008176214760169387,4137.572880239692,3.382968445469233,1.0,0.9998881306633851,0.9999754428863525
22600,0.0007385197095572948,4145.27465376677,3.061367033335051,1.0,0.9998881306633851,0.9999778270721436
22700,0.0006200975622050464,4162.263366915751,2.581009367079826,1.0,0.9998881306633851,0.9999812841415405
