step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
5400,6.060171017452376e-06,17570.228515625,0.1064785896204059,1.0,0.0,0.0,0.0
5500,5.700550445908448e-06,17579.9609375,0.10021545416131872,1.0,0.0,0.0,0.0
5600,5.369472091842908e-06,17589.603515625,0.09444688518373034,1.0,0.0,0.0,0.0
5700,5.054263510828605e-06,17599.1640625,0.08895081274217986,1.0,0.00017711654072627425,0.0,0.0
5800,4.761168383993208e-06,17608.64453125,0.08383772162716241,1.0,0.00017711654072627425,0.0,0.0
5900,4.4839439397037495e-06,17618.048828125,0.07899834327227584,1.0,0.00017711654072627425,0.0,0.0
6000,4.226803866913542e-06,17627.380859375,0.07450748157996401,1.0,0.00017711654072627425,0.0,0.0
6100,3.98094198317267e-06,17636.63671875,0.07021042755563656,1.0,0.00017711654072627425,0.0,0.0
6200,3.7558929761871696e-06,17645.818359375,0.06627580523505117,1.0,0.00017711654072627425,0.0,0.0
6300,3.542343620210886e-06,17654.9375,0.06253985521834693,1.0,0.00017711654072627425,0.0,0.0
6400,3.3403885026928037e-06,17663.986328125,0.059004576842191625,1.0,0.00017711654072627425,0.0,0.0
6500,3.1528475119557697e-06,17672.98046875,0.05572021249974135,1.0,0.00017711654072627425,0.0,0.0
6600,2.973448317789007e-06,17681.923828125,0.05257628666201164,1.0,0.00017711654072627425,0.0,0.0
6700,2.8049148568243254e-06,17690.8046875,0.04962120089714617,1.0,0.00017711654072627425,0.0,0.0
6800,2.646550001372816e-06,17699.640625,0.0468429839203921,1.0,0.00017711654072627425,0.0,0.0
6900,2.4967073386505945e-06,17708.419921875,0.0442127419748517,1.0,0.00017711654072627425,0.0,0.0
7000,2.3586810584674822e-06,17717.171875,0.04178915771117531,1.0,0.00017711654072627425,0.0,0.0
7100,2.2254382656683447e-06,17725.900390625,0.039447897022722334,1.0,0.00017711654072627425,0.0,0.0
7200,2.1000198557885597e-06,17734.591796875,0.03724299490774241,1.0,0.00017711654072627425,0.0,0.0
7300,1.982838284675381e-06,17743.25390625,0.035182003140028506,1.0,0.00017711654072627425,0.0,0.0
7400,1.8717707916948711e-06,17751.884765625,0.03322745940183003,1.0,0.00017711654072627425,0.0,0.0
7500,1.7635861695453059e-06,17760.48046875,0.03132213771916703,1.0,0.00017711654072627425,0.0,0.0
7600,1.6673129721311852e-06,17769.029296875,0.02962653304885876,1.0,0.00017711654072627425,0.0,0.0
7700,1.5758549807287636e-06,17777.552734375,0.028014845021633095,1.0,0.00017711654072627425,0.0,0.0
7800,1.4868677453705459e-06,17786.0078125,0.02644544133531479,1.0,0.00017711654072627425,0.0,0.0
7900,1.4023792118678102e-06,17794.396484375,0.024954491717421146,1.0,0.00017711654072627425,0.0,0.0
8000,1.324859908891085e-06,17802.689453125,0.02358606952688347,1.0,0.00017711654072627425,0.0,0.0
8100,1.251997787221626e-06,17810.919921875,0.022299232330569074,1.0,0.00017711654072627425,0.0,0.0
8200,1.1826200534414966e-06,17819.083984375,0.021073206053880078,1.0,0.00017711654072627425,0.0,0.0
8300,1.117518991122779e-06,17827.205078125,0.019922240233445132,1.0,0.00017711654072627425,0.0,0.0
8400,1.0558079566180822e-06,17835.28125,0.018830631852271296,1.0,0.00017711654072627425,0.0,0.0
