step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
2500,8.327019168063998e-05,6193.10546875,0.5157010794812322,1.0,0.0,0.0,0.0
2600,7.588764128740877e-05,6203.7490234375,0.47078788052773746,1.0,0.0,0.0,0.0
2700,6.93319016136229e-05,6214.08349609375,0.4308342255700097,1.0,0.0,0.0,0.0
2800,6.347316957544535e-05,6224.134765625,0.39506556143894045,1.0,0.0,0.0,0.0
2900,5.8229765272699296e-05,6233.921875,0.3629998075095955,1.0,0.0,0.0,0.0
3000,5.352402513381094e-05,6243.46875,0.33417557829716316,1.0,0.0,0.0,0.0
3100,4.927904956275597e-05,6252.7958984375,0.3081318389848988,1.0,0.0,0.0,0.0
3200,4.5448112359736115e-05,6261.9150390625,0.28459221828243386,1.0,0.0,0.0,0.0
3300,4.1970393795054406e-05,6270.84130859375,0.263189679147974,1.0,0.0,0.0,0.0
3400,3.8818168832222e-05,6279.59228515625,0.24376227352271407,1.0,0.0,0.0,0.0
3500,3.594116060412489e-05,6288.17919921875,0.22600445850663853,1.0,0.0,0.0,0.0
3600,3.332524647703394e-05,6296.60986328125,0.20983607566357065,1.0,0.0,0.0,0.0
3700,3.093652048846707e-05,6304.8974609375,0.19505158947797696,1.0,0.0,0.0,0.0
3800,2.8743208531523123e-05,6313.04833984375,0.18145726490171477,1.0,0.0,0.0,0.0
3900,2.6734011044027284e-05,6321.07275390625,0.16898762881302964,1.0,0.0,0.0,0.0
4000,2.48849464696832e-05,6328.97705078125,0.15749625511654486,1.0,0.0,0.0,0.0
4100,2.3186346879811026e-05,6336.76611328125,0.14692645719877095,1.0,0.0,0.0,0.0
4200,2.162099008273799e-05,6344.44775390625,0.13717324196765635,1.0,0.0,0.0,0.0
4300,2.0177238184260204e-05,6352.03125,0.12816644748511408,1.0,0.0,0.0,0.0
4400,1.8838902178686112e-05,6359.52099609375,0.11980639394871062,1.0,0.0,0.0,0.0
